path_a,path_b,label
images_png/phone/276614493.png,images_png/phone/277164948.png,1
images_png/speaker/95866327.png,images_png/tv/276861683.png,0
images_png/tv/275194363.png,images_png/tv/274843351.png,1
images_png/laptop/277361314.png,images_png/laptop/273949286.png,0
images_png/speaker/55508641.png,images_png/camera/57071523.png,0
images_png/tv/275245456.png,images_png/tv/275268806.png,1
images_png/tv/274843323.png,images_png/speaker/272286025.png,0
images_png/laptop/206840788.png,images_png/phone/274405521.png,0
images_png/camera/274179036.png,images_png/phone/276062770.png,0
images_png/camera/271234773.png,images_png/laptop/252566514.png,0
images_png/laptop/277446629.png,images_png/laptop/277361271.png,1
images_png/speaker/95866327.png,images_png/tv/275244717.png,0
images_png/phone/276944892.png,images_png/phone/276062770.png,1
images_png/tv/275646608.png,images_png/tv/274877090.png,1
images_png/phone/277777809.png,images_png/phone/277707642.png,1
images_png/camera/212934661.png,images_png/camera/194067352.png,1
images_png/camera/276021394.png,images_png/tv/275603494.png,0
images_png/tv/275244717.png,images_png/camera/4688897.png,0
images_png/phone/277360579.png,images_png/phone/277311630.png,1
images_png/camera/242482796.png,images_png/camera/270977170.png,0
images_png/speaker/43851316.png,images_png/tv/277971781.png,0
images_png/camera/270977170.png,images_png/camera/270977143.png,1
images_png/camera/274879959.png,images_png/camera/212934661.png,1
images_png/laptop/275382480.png,images_png/laptop/275852844.png,1
images_png/tv/277989480.png,images_png/tv/277976029.png,1
images_png/phone/276274790.png,images_png/phone/277512611.png,1
images_png/speaker/172369953.png,images_png/camera/262792654.png,0
images_png/speaker/277548884.png,images_png/phone/181927774.png,0
images_png/tv/276861471.png,images_png/phone/277619147.png,0
images_png/tv/276621654.png,images_png/tv/275244939.png,1
images_png/speaker/277420934.png,images_png/laptop/275854376.png,0
images_png/laptop/278071899.png,images_png/laptop/277912853.png,1
images_png/phone/277164932.png,images_png/phone/277164948.png,1
images_png/tv/274843323.png,images_png/tv/274870404.png,1
images_png/phone/276274790.png,images_png/phone/273990229.png,1
images_png/speaker/77712221.png,images_png/speaker/241635069.png,0
images_png/camera/263596152.png,images_png/camera/154259057.png,1
images_png/camera/272268455.png,images_png/speaker/277468981.png,0
images_png/laptop/278226869.png,images_png/phone/276046675.png,0
images_png/phone/273990229.png,images_png/tv/277988890.png,0
images_png/laptop/277936690.png,images_png/laptop/277936146.png,1
images_png/camera/277381589.png,images_png/speaker/6610413.png,0
images_png/phone/277311651.png,images_png/laptop/278304303.png,0
images_png/tv/276621107.png,images_png/phone/277164948.png,0
images_png/tv/275655645.png,images_png/speaker/241638318.png,0
