path_a,title_a,path_b,title_b,duplicate
images_png/camera/194121937.png,Camera IP Wifi Ngoài Trời EZVIZ C3TN 3MP 2K Color Night Vision Tích Hợp Ai - Có Màu Ban Đêm - Đàm Thoại 2 Chiều - Hàng Chính Hãng,images_png/camera/194130039.png,Camera IP Wifi Ngoài Trời EZVIZ H3 5MP Độ Phân Giải 3K Siêu Nét Tích Hợp AI Nhận Diện Vẫy Tay Chào - Có Màu Ban Đêm - Đàm Thoại 2 Chiều - Hàng Chính Hãng,True
images_png/phone/273990229.png,Điện Thoại Xiaomi Redmi Note 13 6GB/128GB - Hàng Chính Hãng,images_png/phone/276944892.png,Điện Thoại Samsung Galaxy A06 4GB/64GB - Hàng Chính Hãng,True
images_png/camera/275938579.png,"Camera trong nhà TP-Link Tapo TC60 - Full HD, Đàm thoại 2 chiều, Phát hiện chuyển động - HÀNG CHÍNH HÃNG",images_png/phone/277777809.png,"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",False
images_png/phone/276274790.png,Điện Thoại Samsung Galaxy A06 4GB/128GB - Hàng Chính Hãng,images_png/phone/276944892.png,Điện Thoại Samsung Galaxy A06 4GB/64GB - Hàng Chính Hãng,True
images_png/phone/276639232.png,Điện Thoại Samsung Galaxy A16 5G 8GB/128GB - Hàng Chính Hãng,images_png/phone/276944868.png,Điện Thoại Samsung Galaxy A16 4GB/128GB - Hàng Chính Hãng,True
images_png/speaker/241639907.png,Loa Bluetooth Marshall Acton III - Hàng Chính Hãng,images_png/speaker/270214387.png,Loa Bluetooth Marshall Middleton Portable - Hàng Chính Hãng (Cream),True
images_png/tv/277971781.png,Google Tivi TCL 4K 43 Inch 43P755 - Hàng Chính Hãng,images_png/tv/277988926.png,Google Tivi Xiaomi A Pro 2026 QLED 4K 55 Inch L55MB-APSEA - Hàng chính hãng,False
images_png/phone/277704510.png,Điện Thoại Samsung Galaxy A26 5G 8GB/128GB - Hàng Chính Hãng,images_png/phone/277944334.png,Điện Thoại Samsung Galaxy A06 5G 4GB/64GB - Hàng Chính Hãng,True
images_png/tv/277971781.png,Google Tivi TCL 4K 43 Inch 43P755 - Hàng Chính Hãng,images_png/tv/277971948.png,Google Tivi LED TCL 4K 55 inch 55P755 Pro - Hàng Chính Hãng,True
images_png/laptop/278226869.png,"Laptop Dell Inspiron 3530 71043887( Core i5-1334U| 8GB| 512GB SSD| Intel Iris Xe Graphics| 15.6"" FHD| Đen(Black)) - Hàng Chính Hãng - Bảo Hành Chính Hãng Tại Dell Việt Nam",images_png/laptop/278304793.png,"Laptop Dell Inspiron 15 3520 71069202 ( Core i7-1255U| 16GB| 512GB SSD| Intel Iris Xe Graphics| 15.6"" FHD| Đen) - Hàng Chính Hãng - Bảo Hành 12 Tháng tại Dell Việt Nam",True
images_png/laptop/278226626.png,"Laptop Dell Inspiron 15 3520 N3520-i5U085W11SLU( Core i5-1235U| 8GB| 512GB SSD| 15.6"" FHD| Bạc) - Hàng Chính Hãng - Bảo Hành 12 Tháng Tại Dell Việt Nam",images_png/laptop/278227010.png,"Dell Inspiron 3530  71053696( Core i5-1334U| 16GB| 512GB SSD| Intel Iris Xe Graphics| 15.6"" FHD| Bạc (Platinum Silver)) - Hàng Chính Hãng- Bảo Hành 12 Tháng Tại Dell Việt Nam",True
images_png/laptop/275382480.png,LAPTOP HP PROBOOK 440 G10 (873B1PA) (I5 1340P/8GB RAM/512GB SSD/14 FHD CẢM ỨNG/WIN11/BẠC) - Hàng Chính Hãng - Bảo Hành 12 Tháng,images_png/phone/197214029.png,Apple iPhone 14,False
images_png/phone/274405521.png,Điện Thoại Samsung Galaxy A05 4GB/64GB - Hàng Chính Hãng,images_png/phone/277360579.png,Điện Thoại Xiaomi Redmi 13 8GB/128GB - Hàng Chính Hãng,True
images_png/speaker/57523356.png,Loa Bluetooth mini TWS 5.0  wireless không dây - [Hàng Chính Hãng,images_png/speaker/76062253.png,Loa Nghe Nhạc Bluetooth Không Dây Mini LittleFUN - Hàng Chính Hãng,True
images_png/laptop/277361314.png,Laptop HP Gaming Victus 15-fb1023AX 94F20PA (R5 7535HS/ 8GB/ 512GB SSD/ RTX 2050 4GB/ 15.6 inch FHD/ 144Hz/ Win11/ Silver) - Hàng Chính Hãng,images_png/laptop/277912715.png,Laptop Acer Aspire 7 A715-59G-57TU NH.QX6SV.001 (Intel Core i5-12450H | RTX 3050 | 15.6 inch FHD | 16GB | 512GB | Win 11 | Đen) - HÀNG CHÍNH HÃNG,False
images_png/laptop/206840788.png,Laptop Lenovo ThinkPad E15 Gen 4 21E600CMVA (Đen) - Tặng  chuột Zadez M-331 - Hàng chính hãng,images_png/tv/275268806.png,Smart Tivi LG 4K 50 inch 50UT8050PSB Mới 2024 - Hàng chính hãng - Giao HCM và 1 số tỉnh thành,False
